# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	82628
#@/user_id	mac_double_pinyin_fly
a 	啊	c=310 d=1.62482 t=82628
a 	阿	c=14 d=5.04606e-13 t=82628
a er bei si 	阿爾卑斯	c=1 d=2.42546e-12 t=82628
a ke su 	阿克蘇	c=2 d=1.88891e-29 t=82628
a la bo 	阿拉伯	c=2 d=1.02692e-40 t=82628
a le tai 	阿勒泰	c=1 d=1.07843e-06 t=82628
a li 	阿里	c=1 d=1.12893e-17 t=82628
a na si ta ni ya 	啊納斯他尼亞	c=1 d=2.83847e-09 t=82628
a o 	啊哦	c=1 d=1.35193e-18 t=82628
a yi 	阿姨	c=2 d=2.74389e-21 t=82628
a zi hai mo zheng 	阿茲海默症	c=1 d=3.41705e-15 t=82628
ai 	哎	c=2 d=1.71893e-20 t=82628
ai 	唉	c=15 d=0.594585 t=82628
ai 	愛	c=7 d=5.48998e-05 t=82628
ai 	艾	c=2 d=6.99627e-36 t=82628
ai ai 	愛愛	c=0 d=0.00393602 t=82628
ai da 	愛達	c=1 d=0.0257325 t=82628
ai di sheng 	愛迪生	c=1 d=2.26695e-11 t=82628
ai er 	艾爾	c=0 d=2.64956e-82 t=82628
ai er deng 	艾爾登	c=12 d=0.371959 t=82628
ai er lan 	愛爾蘭	c=1 d=2.8466e-72 t=82628
ai qing 	愛情	c=1 d=8.5907e-08 t=82628
ai shang 	愛上	c=0 d=2.50964e-32 t=82628
ai xin 	愛心	c=1 d=6.65708e-08 t=82628
ai zheng 	癌症	c=1 d=2.2167e-12 t=82628
an 	安	c=2 d=7.636e-10 t=82628
an 	按	c=43 d=0.0116172 t=82628
an 	暗	c=3 d=4.01179e-11 t=82628
an 	案	c=2 d=7.87441e-34 t=82628
an bei 	安倍	c=1 d=6.69045e-08 t=82628
an dao li 	按道理	c=2 d=8.1103e-16 t=82628
an ding 	安定	c=3 d=6.23348e-58 t=82628
an hei 	暗黑	c=36 d=0.00346948 t=82628
an hui 	安徽	c=1 d=1.41637e-07 t=82628
an ji 	安吉	c=15 d=3.49331e-10 t=82628
an jian 	案件	c=1 d=3.21576e-36 t=82628
an jin 	暗金	c=2 d=6.62613e-63 t=82628
an ke 	安克	c=4 d=4.75466e-07 t=82628
an mo yi 	按摩椅	c=9 d=2.99005e-12 t=82628
an nan 	安南	c=1 d=1.54255e-11 t=82628
an niu 	按鈕	c=2 d=0.0150707 t=82628
an pai 	安排	c=16 d=0.0025649 t=82628
an pei 	安培	c=1 d=4.29543e-30 t=82628
an qi lai 	按起來	c=1 d=5.64641e-12 t=82628
an quan 	安全	c=11 d=0.290835 t=82628
an shi 	按時	c=1 d=1.11443e-98 t=82628
an shuo 	按說	c=1 d=3.05632e-26 t=82628
an ting 	安亭	c=2 d=9.40884e-99 t=82628
an wei jiang 	安慰獎	c=1 d=6.04122e-13 t=82628
an wo 	安臥	c=1 d=2.41124e-31 t=82628
an xin 	安心	c=1 d=5.81225e-29 t=82628
an xu 	按需	c=1 d=1.14609e-16 t=82628
an yi 	安逸	c=1 d=2.54075e-117 t=82628
an zhao 	按照	c=41 d=0.294489 t=82628
an zhe ge 	按這個	c=1 d=3.21118e-78 t=82628
an zhuang 	安裝	c=15 d=6.51237e-07 t=82628
an zhuang bao 	安裝包	c=1 d=4.98109e-37 t=82628
an zhuang pan 	安裝盤	c=1 d=1.12535e-07 t=82628
an zhuo 	安卓	c=1 d=3.28988e-10 t=82628
ao 	傲	c=1 d=3.10337e-88 t=82628
ao 	奧	c=1 d=6.75747e-37 t=82628
ao 	熬	c=1 d=2.29684e-18 t=82628
ao da li ya 	澳大利亞	c=4 d=0.000478931 t=82628
ao dao 	熬到	c=1 d=2.93858e-05 t=82628
ao de sai 	奧德賽	c=2 d=1.65609e-23 t=82628
ao ni ke xi ya 	奧妮克西亞	c=1 d=6.82677e-10 t=82628
ao sa de 	奧薩的	c=1 d=1.91548e-29 t=82628
ao si ka 	奧斯卡	c=1 d=2.54496e-19 t=82628
ao te man 	奧特曼	c=1 d=1.7455e-24 t=82628
ao yun hui 	奧運會	c=1 d=1.04447e-100 t=82628
ao zhou 	澳洲	c=1 d=1.00272e-32 t=82628
ba 	八	c=2 d=1.5346e-09 t=82628
ba 	吧	c=707 d=3.23828 t=82628
ba 	巴	c=1 d=2.57273e-29 t=82628
ba 	把	c=179 d=1.37164 t=82628
ba 	拔	c=1 d=7.95455e-44 t=82628
ba 	爸	c=3 d=9.83573e-12 t=82628
ba ba 	把把	c=1 d=8.29016e-90 t=82628
ba ba 	爸爸	c=3 d=1.48924e-09 t=82628
ba ba guan 	把把關	c=1 d=5.04127e-90 t=82628
ba di 	巴蒂	c=0 d=1.48924e-10 t=82628
ba duan jin 	八段錦	c=1 d=4.15476e-50 t=82628
ba gong 	罷工	c=1 d=1.21524e-58 t=82628
ba ji si tan 	巴基斯坦	c=1 d=4.64607e-12 t=82628
ba le si tan 	巴勒斯坦	c=1 d=6.02748e-45 t=82628
ba ma 	爸媽	c=3 d=9.39462e-31 t=82628
ba ni 	把你	c=1 d=9.85688e-96 t=82628
ba ren 	把人	c=1 d=1.00775e-32 t=82628
ba tai 	吧檯	c=2 d=5.9337e-88 t=82628
ba wo 	把握	c=1 d=2.95582e-15 t=82628
bai 	拜	c=1 d=1.49168e-87 t=82628
bai 	白	c=7 d=1.76551e-11 t=82628
bai 	百	c=2 d=7.43116e-08 t=82628
bai du 	百度	c=3 d=9.22144e-18 t=82628
bai fa 	白髮	c=1 d=1.78726e-08 t=82628
bai fen 	百分	c=0 d=1.13895e-61 t=82628
bai fen wei 	百分位	c=1 d=1.14466e-60 t=82628
bai jin 	白金	c=2 d=2.11333e-09 t=82628
bai ke 	百科	c=2 d=8.94359e-09 t=82628
bai piao 	白嫖	c=1 d=2.88186e-11 t=82628
bai se 	白色	c=1 d=4.55315e-39 t=82628
bai tian 	白天	c=1 d=5.6307e-38 t=82628
bai tuo 	拜託	c=1 d=5.5739e-07 t=82628
bai tuo 	擺脫	c=1 d=5.49092e-07 t=82628
bai wan 	百萬	c=2 d=3.15155e-34 t=82628
bai yi 	百億	c=1 d=1.75754e-46 t=82628
ban 	半	c=20 d=9.32711e-05 t=82628
ban 	搬	c=7 d=1.29543e-08 t=82628
ban 	板	c=0 d=0.000106477 t=82628
ban 	版	c=14 d=3.45675e-11 t=82628
ban 	班	c=9 d=3.71781e-07 t=82628
ban 	辦	c=14 d=0.00367942 t=82628
ban ben 	版本	c=23 d=0.141564 t=82628
ban dao 	半島	c=2 d=2.43347e-43 t=82628
ban ding 	頒訂	c=1 d=1.51906e-07 t=82628
ban duan 	半段	c=1 d=6.05543e-70 t=82628
ban fa 	辦法	c=10 d=0.0443785 t=82628
ban ge 	半個	c=6 d=8.38431e-16 t=82628
ban ge yue 	半個月	c=1 d=3.57166e-65 t=82628
ban gong 	辦公	c=8 d=2.82383e-07 t=82628
ban gong shi 	辦公室	c=19 d=3.43269e-05 t=82628
ban jia 	搬家	c=2 d=2.55772e-19 t=82628
ban jiang 	頒獎	c=1 d=2.58343e-19 t=82628
ban li 	板栗	c=2 d=0.000916478 t=82628
ban nian 	半年	c=3 d=1.61675e-11 t=82628
ban quan 	版權	c=3 d=7.75312e-07 t=82628
ban shan 	半山	c=1 d=1.77707e-29 t=82628
ban tian 	半天	c=3 d=1.50671e-11 t=82628
ban wa gong 	半瓦工	c=1 d=3.52651e-33 t=82628
ban yan 	扮演	c=1 d=1.33729e-37 t=82628
ban ye 	半夜	c=1 d=7.0001e-99 t=82628
ban zhu ren 	班主任	c=1 d=2.34054e-122 t=82628
ban zou 	伴奏	c=2 d=2.5326e-68 t=82628
bang 	幫	c=80 d=2.68561 t=82628
bang 	榜	c=14 d=0.0941057 t=82628
bang 	磅	c=2 d=0.0689777 t=82628
bang 	邦	c=1 d=4.42522e-86 t=82628
bang bu shang 	幫不上	c=1 d=2.63948e-95 t=82628
bang ding 	綁定	c=3 d=1.52668e-07 t=82628
bang mang 	幫忙	c=27 d=0.467667 t=82628
bang ni 	幫你	c=6 d=3.4074e-17 t=82628
bang wo 	幫我	c=50 d=0.200558 t=82628
bang wo men 	幫我們	c=1 d=3.69334e-18 t=82628
bang zhu 	幫助	c=12 d=1.39649e-15 t=82628
bao 	保	c=2 d=3.5294e-72 t=82628
bao 	包	c=13 d=0.392585 t=82628
bao 	報	c=21 d=0.319328 t=82628
bao 	寶	c=7 d=6.84094e-05 t=82628
bao 	抱	c=2 d=2.23203e-83 t=82628
bao 	暴	c=2 d=4.90025e-21 t=82628
bao bao 	寶寶	c=0 d=3.77245e-33 t=82628
bao bao long 	寶寶龍	c=1 d=3.79136e-32 t=82628
bao bei 	報備	c=2 d=1.91658e-111 t=82628
bao chi 	保持	c=7 d=2.3465e-05 t=82628
bao cun 	保存	c=2 d=4.5095e-10 t=82628
bao cuo 	報錯	c=8 d=3.91132e-07 t=82628
bao dao 	報道	c=1 d=4.6974e-53 t=82628
bao fa 	爆發	c=5 d=1.0081e-36 t=82628
bao fei 	報廢	c=1 d=6.45641e-89 t=82628
bao gao 	報告	c=4 d=1.98225e-09 t=82628
bao guo 	包裹	c=1 d=1.19429e-30 t=82628
bao han 	包含	c=18 d=1.25599e-05 t=82628
bao hu 	保護	c=2 d=1.25727e-17 t=82628
bao ji 	暴擊	c=1 d=2.02406e-60 t=82628
bao jing 	報警	c=5 d=6.10901e-56 t=82628
bao ku 	寶庫	c=1 d=1.26905e-09 t=82628
bao kuo 	包括	c=7 d=1.43753e-05 t=82628
bao liu 	保留	c=12 d=0.960799 t=82628
bao liu xian chang 	保留現場	c=1 d=9.42085e-05 t=82628
bao lu 	暴露	c=6 d=0.506617 t=82628
bao ming 	報名	c=9 d=1.30725e-05 t=82628
bao qian 	抱歉	c=10 d=0.0942171 t=82628
bao shan 	寶山	c=15 d=0.0425431 t=82628
bao shan qu 	寶山區	c=4 d=3.45855e-10 t=82628
bao shi 	保溼	c=1 d=8.49455e-52 t=82628
bao shi 	寶石	c=3 d=5.21589e-56 t=82628
bao shou 	保守	c=2 d=0.0120945 t=82628
bao shui 	報稅	c=1 d=1.44755e-116 t=82628
bao wei 	包圍	c=1 d=0.00663763 t=82628
bao wen xiang 	保溫箱	c=1 d=3.95832e-39 t=82628
bao xian 	保險	c=3 d=0.0742735 t=82628
bao xiao 	報銷	c=43 d=1.31611e-10 t=82628
bao xue 	暴雪	c=14 d=5.84503e-06 t=82628
bao yan 	保研	c=1 d=4.13277e-17 t=82628
bao yang 	保養	c=1 d=1.96905e-30 t=82628
bao yin 	爆音	c=1 d=7.58877e-49 t=82628
bao you liang 	保有量	c=2 d=1.89052e-07 t=82628
bao yu 	暴雨	c=1 d=1.64095e-62 t=82628
bao yuan 	抱怨	c=1 d=4.55872e-24 t=82628
bao zha 	爆炸	c=1 d=1.2697e-15 t=82628
bao zheng 	保證	c=18 d=0.0136331 t=82628
bao zheng jin 	保證金	c=1 d=0.965606 t=82628
bao zhong 	保重	c=3 d=2.05794e-20 t=82628
bao zi 	包子	c=1 d=3.72502e-89 t=82628
bei 	倍	c=2 d=4.71387e-06 t=82628
bei 	北	c=6 d=0.00109172 t=82628
bei 	唄	c=48 d=3.9826e-07 t=82628
bei 	背	c=2 d=5.17291e-11 t=82628
bei 	被	c=50 d=0.00863404 t=82628
bei 	貝	c=3 d=9.96198e-15 t=82628
bei an 	備案	c=3 d=1.02719e-33 t=82628
bei bu 	被捕	c=2 d=1.04386e-05 t=82628
bei da 	北大	c=0 d=0.036788 t=82628
bei da hu 	北大湖	c=1 d=0.369723 t=82628
bei dong 	被動	c=1 d=2.13967e-37 t=82628
bei fang 	北方	c=1 d=3.02848e-36 t=82628
bei fen 	備份	c=17 d=0.985111 t=82628
bei hai 	北海	c=1 d=1.28551e-43 t=82628
bei hao 	備好	c=1 d=1.32687e-92 t=82628
bei hou 	背後	c=1 d=1.17076e-90 t=82628
bei jing 	北京	c=8 d=0.00101942 t=82628
bei jing 	背景	c=8 d=0.0275983 t=82628
bei ke 	貝殼	c=1 d=5.455e-18 t=82628
bei lun 	悖論	c=2 d=4.72723e-61 t=82628
bei mei 	北美	c=13 d=2.91182e-07 t=82628
bei sai 	盃賽	c=0 d=5.57752e-45 t=82628
bei sai si ta 	盃賽斯塔	c=1 d=5.60547e-44 t=82628
bei shang 	悲傷	c=1 d=4.50204e-112 t=82628
bei shu 	背書	c=1 d=0.0370681 t=82628
bei xiang 	北向	c=1 d=1.83693e-07 t=82628
bei zhe 	備着	c=1 d=2.56522e-24 t=82628
bei zhu 	備註	c=3 d=6.66612e-15 t=82628
ben 	奔	c=3 d=2.67263e-36 t=82628
ben 	本	c=5 d=0.99005 t=82628
ben chi 	奔馳	c=1 d=5.662e-15 t=82628
ben di 	本地	c=29 d=3.72856e-12 t=82628
ben ji 	本機	c=1 d=3.78224e-180 t=82628
ben jin 	本金	c=1 d=7.18167e-18 t=82628
ben ke 	本科	c=2 d=2.91898e-06 t=82628
ben lai 	本來	c=31 d=0.0129715 t=82628
ben shen 	本身	c=7 d=0.008271 t=82628
ben ti 	本體	c=1 d=6.62275e-06 t=82628
ben tian 	本田	c=4 d=0.307285 t=82628
ben zhi 	本職	c=1 d=4.00205e-80 t=82628
ben zhi 	本質	c=2 d=7.54731e-14 t=82628
ben zi 	本子	c=1 d=1.08008e-24 t=82628
beng 	崩	c=3 d=2.24944e-08 t=82628
beng chuang 	蹦牀	c=1 d=6.23117e-83 t=82628
beng kui 	崩潰	c=1 d=8.67325e-91 t=82628
bi 	幣	c=2 d=2.44044e-55 t=82628
bi 	比	c=22 d=1.90176e-09 t=82628
bi 	筆	c=1 d=1.19296e-105 t=82628
bi 	閉	c=1 d=1.12535e-07 t=82628
